Time,Accel,Brake,Car_Speed,Car_Status,Bike_Status,Bike_Distance
6.3421,0.0000,0.0000,0.0000,False,False,0.0000
6.3594,0.0000,0.0000,0.0000,False,False,0.0000
6.3749,0.0000,0.0000,0.0000,False,False,0.0000
6.3924,0.0000,0.0000,0.0000,False,False,0.0000
6.4089,0.0000,0.0000,0.0000,False,False,0.0000
6.4252,0.0000,0.0000,0.0000,False,False,0.0000
6.4428,0.0000,0.0000,0.0000,False,False,0.0000
6.4593,0.0000,0.0000,0.0000,False,False,0.0000
6.4759,0.0000,0.0000,0.0000,False,False,0.0000
6.4925,0.0000,0.0000,0.0000,False,False,0.0000
6.5101,0.0000,0.0000,0.0000,False,False,0.0000
6.5269,0.0000,0.0000,0.0000,False,False,0.0000
6.5432,0.0000,0.0000,0.0000,False,False,0.0000
6.5603,0.0000,0.0000,0.0000,False,False,0.0000
6.5764,0.0000,0.0000,0.0000,False,False,0.0000
6.5930,0.0000,0.0000,0.0000,False,False,0.0000
6.6092,0.0000,0.0000,0.0000,False,False,0.0000
6.6256,0.0000,0.0000,0.0000,False,False,0.0000
6.6429,0.0000,0.0000,0.0000,False,False,0.0000
6.6590,0.0000,0.0000,0.0000,False,False,0.0000
6.6760,0.0000,0.0000,0.0000,False,False,0.0000
6.6926,0.0000,0.0000,0.0000,False,False,0.0000
6.7195,0.0000,0.0000,0.0000,False,False,0.0000
6.7362,0.0000,0.0000,0.0000,False,False,0.0000
6.7529,0.0000,0.0000,0.0000,False,False,0.0000
6.7715,0.0000,0.0000,0.0000,False,False,0.0000
6.7909,0.0000,0.0000,0.0000,False,False,0.0000
6.8119,0.0000,0.0000,0.0000,False,False,0.0000
6.8334,0.0000,0.0000,0.0000,False,False,0.0000
6.8569,0.0000,0.0000,0.0000,False,False,0.0000
6.8787,0.0000,0.0000,0.0000,False,False,0.0000
6.9024,0.0000,0.0000,0.0000,False,False,0.0000
6.9250,0.0000,0.0000,0.0000,False,False,0.0000
6.9470,0.0000,0.0000,0.0000,False,False,0.0000
6.9709,0.0000,0.0000,0.0000,False,False,0.0000
6.9933,0.0000,0.0000,0.0000,False,False,0.0000
7.0158,0.0000,0.0000,0.0000,False,False,0.0000
7.0383,0.0000,0.0000,0.0000,False,False,0.0000
7.0615,0.0000,0.0000,0.0000,False,False,0.0000
7.0846,0.0000,0.0000,0.0000,False,False,0.0000
7.1067,0.0000,0.0000,0.0000,False,False,0.0000
7.1283,0.0000,0.0000,0.0000,False,False,0.0000
7.1476,0.0000,0.0000,0.0000,False,False,0.0000
7.1675,0.0000,0.0000,0.0000,False,False,0.0000
7.1855,0.0000,0.0000,0.0000,False,False,0.0000
7.2045,0.0000,0.0000,0.0000,False,False,0.0000
7.2219,0.0000,0.0000,0.0000,False,False,0.0000
7.2389,0.0000,0.0000,0.0000,False,False,0.0000
7.2553,0.0000,0.0000,0.0000,False,False,0.0000
7.2754,0.0000,0.0000,0.0000,False,False,0.0000
7.2929,0.0000,0.0000,0.0000,False,False,0.0000
7.3106,0.0000,0.0000,0.0000,False,False,0.0000
7.3291,0.0000,0.0000,0.0000,False,False,0.0000
7.3481,0.0000,0.0000,0.0000,False,False,0.0000
7.3707,0.0000,0.0000,0.0000,False,False,0.0000
7.3925,0.0000,0.0000,0.0000,False,False,0.0000
7.4156,0.0000,0.0000,0.0000,False,False,0.0000
7.4382,0.0000,0.0000,0.0000,False,False,0.0000
7.4628,0.0000,0.0000,0.0000,False,False,0.0000
7.4870,0.0000,0.0000,0.0000,False,False,0.0000
7.5101,0.0000,0.0000,0.0000,False,False,0.0000
7.5342,0.0000,0.0000,0.0000,False,False,0.0000
7.5570,0.0000,0.0000,0.0000,False,False,0.0000
7.5791,0.0000,0.0000,0.0000,False,False,0.0000
7.6011,0.0000,0.0000,0.0000,False,False,0.0000
7.6257,0.0000,0.0000,0.0000,False,False,0.0000
7.6449,0.0000,0.0000,0.0000,False,False,0.0000
7.6637,0.0000,0.0000,0.0000,False,False,0.0000
7.6827,0.0000,0.0000,0.0000,False,False,0.0000
7.7003,0.0000,0.0000,0.0000,False,False,0.0000
7.7176,0.0000,0.0000,0.0000,False,False,0.0000
7.7341,0.0000,0.0000,0.0000,False,False,0.0000
7.7510,0.0000,0.0000,0.0000,False,False,0.0000
7.7682,0.0000,0.0000,0.0000,False,False,0.0000
7.7873,0.0000,0.0000,0.0000,False,False,0.0000
7.8045,0.0000,0.0000,0.0000,False,False,0.0000
7.8227,0.0000,0.0000,0.0000,False,False,0.0000
7.8399,0.0000,0.0000,0.0000,False,False,0.0000
7.8562,0.0000,0.0000,0.0000,False,False,0.0000
7.8733,0.0000,0.0000,0.0000,False,False,0.0000
7.8917,0.0000,0.0000,0.0000,False,False,0.0000
7.9085,0.0000,0.0000,0.0000,False,False,0.0000
7.9267,0.0000,0.0000,0.0000,False,False,0.0000
7.9436,0.0000,0.0000,0.0000,False,False,0.0000
7.9618,0.0000,0.0000,0.0000,False,False,0.0000
7.9797,0.0000,0.0000,0.0000,False,False,0.0000
7.9980,0.0000,0.0000,0.0000,False,False,0.0000
8.0153,0.0000,0.0000,0.0000,False,False,0.0000
8.0328,0.0000,0.0000,0.0000,False,False,0.0000
8.0507,0.0000,0.0000,0.0000,False,False,0.0000
8.0692,0.0000,0.0000,0.0000,False,False,0.0000
8.0873,0.0000,0.0000,0.0000,False,False,0.0000
